id,course_title,url,level,main_subject,specific_subject
177,SAP Crystal Reports:Master-Detail Cross-Tab Sub-Reports,https://www.udemy.com/sap-crystal-reportsmaster-detailcross-tabsub-reports/,Expert Level,Business Finance,Modeling
178,Learn Financial Accounting Different,https://www.udemy.com/learn-financial-accounting-different/,Intermediate Level,Business Finance,Accounting
179,Financial modeling: Build a forward looking financial model,https://www.udemy.com/how-to-make-an-integrated-financial-model/,Intermediate Level,Business Finance,Modeling
180,Trading for Beginners - Entry Level,https://www.udemy.com/trading-for-beginners-tier-1/,Beginner Level,Business Finance,Trading
181,Accounting Bank Reconciliation Statement (College Level),https://www.udemy.com/bankreconciliationstatement/,Intermediate Level,Business Finance,Accounting
182,Bitcoin - Ethereum: Trading -Watch me manage my own account!,https://www.udemy.com/bitcoin-tips/,Expert Level,Business Finance,Cryptocurrency
183,Algorithmic futures trading - Investing with no experience,https://www.udemy.com/algorithmic-futures-trading/,Expert Level,Business Finance,Technical
184,Ethereum Course for Investors,https://www.udemy.com/how-to-purchase-store-and-profit-from-ethereuem/,Expert Level,Business Finance,Cryptocurrency
185,Capital Market Immersion,https://www.udemy.com/capital-market-immersion/,Intermediate Level,Business Finance,Stock Market
186,Forex Trading :RSI Indicator-A Secret Weapon,https://www.udemy.com/forex-tradinglearn-rsi-indicator-to-trade-like-a-pro/,Expert Level,Business Finance,Trading
187,Trading Mindset and Three Steps To Profitable Trading,https://www.udemy.com/trading-mindset-steps-to-profitable-trading/,Beginner Level,Business Finance,Trading
188,Professional Bookkeeping & Accounting 4:Trial Balance & More,https://www.udemy.com/professional-bookkeeping-accounting-4trial-balance-more/,Intermediate Level,Business Finance,Accounting
189,nternal Controls - Design  Implementation and Monitoring,https://www.udemy.com/internal-controls/,Beginner Level,Business Finance,Modeling
190,Forex online live trading system (Special Offer),https://www.udemy.com/forex-trading-i-will-show-you-how-to-get-profit/,Intermediate Level,Business Finance,Trading
191,Winning Options Trading System,https://www.udemy.com/winning-options-trading-system/,Intermediate Level,Business Finance,Trading
192,Learn The ABC's Of Investing And Understanding True Financial Value,https://www.udemy.com/investing-101-guide/,Beginner Level,Business Finance,Investment
193,How to invest in Russian equity market,https://www.udemy.com/how-to-invest-in-russian-equity-market/,Intermediate Level,Business Finance,Investment
194,Handle difficult questions the bank manager will ask you,https://www.udemy.com/handle-difficult-questions-the-bank-manager-will-ask-you/,Intermediate Level,Business Finance,Management
195,Credit Control Procedures,https://www.udemy.com/credit-control/,Beginner Level,Business Finance,Analysis
196,FMT: Forex Market Trader Certificate,https://www.udemy.com/fmtcertificate/,Expert Level,Business Finance,Stock Market
197,Six Stage Negotiation,https://www.udemy.com/six-stage-negotiation-for-cash-collection/,Intermediate Level,Business Finance,Management
