course_title	url	level	main_subject	specific_subject
How to Read Financial Statements:  Build Financial Literacy.	https://www.udemy.com/learn-how-to-read-financial-statements/	Beginner Level	Business Finance	Analysis
Accounting Books of Accounts (College Level)	https://www.udemy.com/books-of-accounts/	All Levels	Business Finance	Accounting
Forex Trading Profitably	https://www.udemy.com/learn-how-to-make-1000s-a-day-forex-trading-in-under-1-hour/	All Levels	Business Finance	Trading
Learn How to Trade Pump and Dumps. 5 Setups Well Explained.	https://www.udemy.com/how-to-trade-pump-and-dumps/	All Levels	Business Finance	Trading
Bitcoin Trading 101	https://www.udemy.com/bitcoin-trading/	All Levels	Business Finance	Cryptocurrency
Visualizing Data	https://www.udemy.com/visualizing-data/	Intermediate Level	Business Finance	Modeling
IFRS Financial Reporting	https://www.udemy.com/ifrs-financial-reporting/	All Levels	Business Finance	Modeling
Forex Trading System: Correlation EUR/GBP vs GBP/USD	https://www.udemy.com/forex-trading-correlation-strategy-eurgbp-gbpusd/	Intermediate Level	Business Finance	Trading
"SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports"	https://www.udemy.com/sap-crystal-reportsmaster-detailcross-tabsub-reports/	All Levels	Business Finance	Modeling
Learn Financial Accounting Different	https://www.udemy.com/learn-financial-accounting-different/	All Levels	Business Finance	Accounting
Financial modeling: Build a forward looking financial model	https://www.udemy.com/how-to-make-an-integrated-financial-model/	All Levels	Business Finance	Modeling
Trading for Beginners - Entry Level	https://www.udemy.com/trading-for-beginners-tier-1/	Beginner Level	Business Finance	Trading
Accounting Bank Reconciliation Statement (College Level)	https://www.udemy.com/bankreconciliationstatement/	All Levels	Business Finance	Accounting
Bitcoin - Ethereum: Trading -Watch me manage my own account!	https://www.udemy.com/bitcoin-tips/	All Levels	Business Finance	Cryptocurrency
Algorithmic futures trading - Investing with no experience	https://www.udemy.com/algorithmic-futures-trading/	All Levels	Business Finance	Technical
Ethereum Course for Investors	https://www.udemy.com/how-to-purchase-store-and-profit-from-ethereuem/	All Levels	Business Finance	Cryptocurrency
Capital Market Immersion	https://www.udemy.com/capital-market-immersion/	All Levels	Business Finance	Stock Market
Forex Trading :RSI Indicator-A Secret Weapon	https://www.udemy.com/forex-tradinglearn-rsi-indicator-to-trade-like-a-pro/	All Levels	Business Finance	Trading
"Trading Mindset, and Three Steps To Profitable Trading"	https://www.udemy.com/trading-mindset-steps-to-profitable-trading/	Beginner Level	Business Finance	Trading
